nom,description,entrepriseAdaptee,url,logo
ADMR NORD ARDECHE RHONE,"Le Centre de Ressources Territorial Ardèche Nord vise à permettre aux personnes âgées de vieillir chez elles le
plus longtemps possible grâce à un accompagnement renforcé à domicile.
La fédération ADMR de l'Ardèche gère le CRT ARDÈCHE NORD en partenariat avec le Centre Hospitalier Ardèche
Nord. Il est financé par l'Agence Régionale de Santé Auvergne Rhône Alpes.",False,,
""" SUPER U """,,False,,
PIZZA DEL SOL,,False,,
DOMAINE JEAN LOUIS CHAVE,,False,,
TRAITEUR RESTAURANT VINCENDON,,False,,
CAISSE MSA ARDECHE DROME LOIRE,"La MSA, Sécurité sociale agricole, est le 2ème régime de protection sociale en France. Elle gère la protection sociale légale et complémentaire de l'ensemble de la profession agricole et rurale (famille, santé, logement, retraite, assujettissement et cotisations des salariés et exploitants agricoles). La MSA comprend 16 500 salariés répartis entre 35 caisses et une caisse centrale (CCMSA). Elle couvre l'ensemble de la population agricole et des ayants droit (non-salariés et salariés).",False,https://ardechedromeloire.msa.fr/lfy/web/msa-ardeche-drome-loire/offres-emploi-adl?intuition_id=232192,
AUBERGE DE MONTFLEURY,,False,,
PIERRE COURSODON EARL,,False,,
ENTHALPIA RHONE ALPES,,False,,
RANDSTAD,"Besoin d'un coup pouce pour faire avancer votre carrière ? Votre consultant Randstad, spécialisé dans votre métier, vous aidera à trouver la meilleure opportunité.

Notre agence excelle dans la Comptabilité, la Gestion et la Paie, trois piliers essentiels pour les entreprises performantes.",False,,https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/UpGDMGozwNQjI3FMKffrOaeHSDvoSdGi
ADECCO FRANCE,"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.
Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !

",False,,https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ccCJ1rOjn0xPf3L3vdY3xEZCuIleuXqb
